sigma,sign,type,m,src,isValidation,id,graphtype,offset,outlierLoc,outlierNum,ix,iy,actualm,actualb,answer,error,unsignedError,errorActual,unsignedErrorActual,index
0.15,1,line,0.2,data/Exp4/line/line/S0.15m0.2ob10.png,,0,line,0,b,10,0.6931533,0.5386306,-0.2896596,0.7394091,0.19,0.01,0.01,-0.48,0.48,0
0.2,1,line,0.4,data/Exp4/line/line/S0.2m0.4om10.png,,0,line,0,m,10,1.0223895,0.70895594,0.22220367,0.48177725,0.49,-0.09,0.09,-0.27,0.27,1
0.05,1,line,0.1,data/Exp4/line/area/S0.05m0.1om0.png,,0,area,0,m,0,0,0,0.1,0.45,0.09,0.01,0.01,0.01,0.01,2
0.1,1,line,0.1,data/Exp4/line/scatter/S0.1m0.1oe5.png,,0,scatter,0,e,5,0.3335052,0.48335052,-0.15303838,0.5343896,0.09,0.01,0.01,-0.24,0.24,3
0.2,-1,line,0.1,data/Exp4/line/line/S0.2m-0.1om10.png,,0,line,0,m,10,0.96303505,0.45369652,0.083534546,0.37324983,-0.02,-0.08,0.08,0.1,0.1,4
0.05,-1,line,0.2,data/Exp4/line/scatter/S0.05m-0.2oe0.png,,0,scatter,0,e,0,0,0,-0.2,0.4,-0.26,0.06,0.06,0.06,0.06,5
0.15,-1,line,0.2,data/Exp4/line/line/S0.15m-0.2ob5.png,,0,line,0,b,5,0.66189754,0.46762046,0.06637987,0.4236838,-0.18,-0.02,0.02,0.25,0.25,6
0.05,-1,line,0.1,data/Exp4/line/line/S0.05m-0.1oe0.png,,0,line,0,e,0,0,0,-0.1,0.45,-0.14,0.04,0.04,0.04,0.04,7
0.15,1,line,0.1,data/Exp4/line/scatter/S0.15m0.1ob0.png,,0,scatter,0,b,0,0,0,0.1,0.45,0.18,-0.08,0.08,-0.08,0.08,8
0.15,1,line,0.4,data/Exp4/line/area/S0.15m0.4ob0.png,,0,area,0,b,0,0,0,0.4,0.3,0.47,-0.07,0.07,-0.07,0.07,9
0.2,1,line,0.8,data/Exp4/line/line/S0.2m0.8om10.png,,0,line,0,m,10,1.0140972,0.91127807,0.5879658,0.31502357,0.94,-0.14,0.14,-0.35,0.35,11
0.1,-1,line,0.4,data/Exp4/line/area/S0.1m-0.4oe15.png,,0,area,0,e,15,0.29733953,0.5810642,0.34276107,0.4791478,-0.58,0.18,0.18,0.92,0.92,10
0.15,1,line,0.1,data/Exp4/line/scatter/S0.15m0.1om15.png,,0,scatter,0,m,15,0.9936281,0.5493628,-0.18227541,0.7304768,0.09,0.01,0.01,-0.27,0.27,12
0.1,1,line,0.1,data/Exp4/line/line/S0.1m0.1om10.png,,0,line,0,m,10,1.0065576,0.5506557,-0.058605902,0.60964596,0.14,-0.04,0.04,-0.2,0.2,13
0.2,1,line,0.4,data/Exp4/line/line/S0.2m0.4om5.png,,0,line,0,m,5,1.033569,0.7134277,0.30596673,0.39719,0.64,-0.24,0.24,-0.33,0.33,14
0.1,-1,line,0.1,data/Exp4/line/area/S0.1m-0.1om0.png,,0,area,0,m,0,0,0,-0.1,0.45,-0.12,0.02,0.02,0.02,0.02,15
0.1,1,line,0.8,data/Exp4/line/scatter/S0.1m0.8oe15.png,,0,scatter,0,e,15,0.30563658,0.34450933,-0.058502357,0.3623898,0.8,0,0,-0.86,0.86,16
0.2,-1,line,0.2,data/Exp4/line/line/S0.2m-0.2om5.png,,0,line,0,m,5,0.92115206,0.41576964,-0.11182543,0.51877785,-0.33,0.13,0.13,0.22,0.22,17
0.15,-1,line,0.1,data/Exp4/line/line/S0.15m-0.1ob10.png,,0,line,0,b,10,0.67921185,0.48207885,0.36679202,0.23294938,-0.12,0.02,0.02,0.49,0.49,18
0.15,1,line,0.2,data/Exp4/line/scatter/S0.15m0.2ob5.png,,0,scatter,0,b,5,0.6920221,0.53840435,-0.080199935,0.5939045,0.21,-0.01,0.01,-0.29,0.29,19
0.05,1,line,0.1,data/Exp4/line/area/S0.05m0.1ob10.png,,0,area,0,b,10,0.6891136,0.51891136,-0.35119873,0.7609272,0.09,0.01,0.01,-0.44,0.44,21
0.15,-1,line,0.4,data/Exp4/line/line/S0.15m-0.4oe10.png,,0,line,0,e,10,0.30567715,0.57772917,0.13770095,0.53563714,-0.54,0.14,0.14,0.68,0.68,22
0.15,1,line,0.4,data/Exp4/line/scatter/S0.15m0.4om5.png,,0,scatter,0,m,5,1.0258924,0.71035695,0.30951223,0.39283073,0.45,-0.05,0.05,-0.14,0.14,23
0.1,-1,line,0.8,data/Exp4/line/line/S0.1m-0.8ob0.png,,0,line,0,b,0,0,0,-0.8,0.1,-0.85,0.05,0.05,0.05,0.05,24
0.15,-1,line,0.4,data/Exp4/line/scatter/S0.15m-0.4ob10.png,,0,scatter,0,b,10,0.6784794,0.42860827,0.12620744,0.34297916,-0.57,0.17,0.17,0.7,0.7,25
0.15,-1,line,0.8,data/Exp4/line/line/S0.15m-0.8oe10.png,,0,line,0,e,10,0.30762503,0.6538999,-0.12591942,0.6926359,-0.87,0.07,0.07,0.74,0.74,26
0.05,1,line,0.8,data/Exp4/line/area/S0.05m0.8oe15.png,,0,area,0,e,15,0.30390596,0.34312484,-0.08542439,0.36908582,0.88,-0.08,0.08,-0.97,0.97,27
0.05,-1,line,0.1,data/Exp4/line/scatter/S0.05m-0.1ob0.png,,0,scatter,0,b,0,0,0,-0.1,0.45,-0.14,0.04,0.04,0.04,0.04,28
0.1,1,line,0.4,data/Exp4/line/scatter/S0.1m0.4om5.png,,0,scatter,0,m,5,1.0118743,0.7047498,0.310716,0.39034432,0.52,-0.12,0.12,-0.21,0.21,29
0.2,-1,line,0.1,data/Exp4/line/scatter/S0.2m-0.1om0.png,,0,scatter,0,m,0,0,0,-0.1,0.45,-0.11,0.01,0.01,0.01,0.01,30
0.05,-1,line,0.4,data/Exp4/line/area/S0.05m-0.4oe10.png,,0,area,0,e,10,0.31027812,0.5758888,0.13826884,0.532987,-0.41,0.01,0.01,0.55,0.55,32
0.1,-1,line,0.2,data/Exp4/line/area/S0.1m-0.2ob10.png,,0,area,0,b,10,0.6814859,0.4637028,0.30676395,0.2546475,-0.33,0.13,0.13,0.64,0.64,31
0.05,1,line,0.8,data/Exp4/line/line/S0.05m0.8om15.png,,0,line,0,m,15,0.9800159,0.88401294,0.49756458,0.39639178,0.75,0.05,0.05,-0.25,0.25,33
0.2,1,line,0.1,data/Exp4/line/area/S0.2m0.1ob0.png,,0,area,0,b,0,0,0,0.1,0.45,0.12,-0.02,0.02,-0.02,0.02,35
0.15,-1,line,0.2,data/Exp4/line/scatter/S0.15m-0.2ob15.png,,0,scatter,0,b,15,0.691586,0.4616828,0.4744649,0.1335495,-0.43,0.23,0.23,0.9,0.9,34
0.2,-1,line,0.4,data/Exp4/line/area/S0.2m-0.4om15.png,,0,area,0,m,15,0.9676244,0.31295025,-0.113961555,0.4232222,-0.49,0.09,0.09,0.38,0.38,36
0.2,1,line,0.4,data/Exp4/line/scatter/S0.2m0.4ob5.png,,0,scatter,0,b,5,0.6963538,0.57854164,0.12808433,0.4893496,0.42,-0.02,0.02,-0.29,0.29,37
0.2,-1,line,0.1,data/Exp4/line/line/S0.2m-0.1om5.png,,0,line,0,m,5,0.92042595,0.45795745,-0.013429552,0.47031835,-0.23,0.13,0.13,0.22,0.22,38
0.15,-1,line,0.8,data/Exp4/line/area/S0.15m-0.8oe0.png,,0,area,0,e,0,0,0,-0.8,0.1,-0.82,0.02,0.02,0.02,0.02,39
0.15,1,line,0.2,data/Exp4/line/area/S0.15m0.2oe0.png,,0,area,0,e,0,0,0,0.2,0.4,0.22,-0.02,0.02,-0.02,0.02,40
0.05,-1,line,0.8,data/Exp4/line/line/S0.05m-0.8oe5.png,,0,line,0,e,5,0.31847557,0.6452193,-0.4681669,0.79431903,-0.75,-0.05,0.05,0.28,0.28,41
0.1,1,line,0.1,data/Exp4/line/scatter/S0.1m0.1oe15.png,,0,scatter,0,e,15,0.30601707,0.4806017,-0.5457717,0.64761716,0.13,-0.03,0.03,-0.68,0.68,42
0.05,-1,line,0.4,data/Exp4/line/line/S0.05m-0.4oe0.png,,0,line,0,e,0,0,0,-0.4,0.3,-0.41,0.01,0.01,0.01,0.01,44
0.05,-1,line,0.2,data/Exp4/line/area/S0.05m-0.2ob10.png,,0,area,0,b,10,0.6840074,0.46319848,0.29395908,0.2621283,-0.31,0.11,0.11,0.6,0.6,43
0.15,1,line,0.1,data/Exp4/line/area/S0.15m0.1ob0.png,,0,area,0,b,0,0,0,0.1,0.45,0.05,0.05,0.05,0.05,0.05,46
0.1,1,line,0.4,data/Exp4/line/line/S0.1m0.4oe5.png,,0,line,0,e,5,0.33137769,0.43255115,0.10188598,0.3987884,0.42,-0.02,0.02,-0.32,0.32,48
0.2,-1,line,0.4,data/Exp4/line/scatter/S0.2m-0.4ob15.png,,0,scatter,0,b,15,0.6902712,0.42389154,0.3610099,0.17469677,-0.44,0.04,0.04,0.8,0.8,47
0.2,-1,line,0.2,data/Exp4/line/scatter/S0.2m-0.2ob15.png,,0,scatter,0,b,15,0.6911889,0.4617622,0.48751697,0.12479591,-0.01,-0.19,0.19,0.5,0.5,49
0.2,-1,line,0.2,data/Exp4/line/scatter/S0.2m-0.2oe0.png,,0,scatter,0,e,0,0,0,-0.2,0.4,-0.28,0.08,0.08,0.08,0.08,50
0.05,1,line,0.1,data/Exp4/line/line/S0.05m0.1om15.png,,0,line,0,m,15,0.9894016,0.5489402,-0.14998162,0.6973322,0.09,0.01,0.01,-0.24,0.24,51
0.1,-1,line,0.2,data/Exp4/line/line/S0.1m-0.2oe5.png,,0,line,0,e,5,0.31319943,0.5373601,0.055115413,0.520098,-0.27,0.07,0.07,0.33,0.33,52
0.15,-1,line,0.1,data/Exp4/line/line/S0.15m-0.1ob5.png,,0,line,0,b,5,0.66140586,0.48385945,0.1485721,0.385593,-0.16,0.06,0.06,0.31,0.31,53
0.1,-1,line,0.1,data/Exp4/line/area/S0.1m-0.1om15.png,,0,area,0,m,15,0.9677757,0.45322242,0.16152436,0.29690307,-0.07,-0.03,0.03,0.23,0.23,55
0.2,-1,line,0.2,data/Exp4/line/area/S0.2m-0.2oe10.png,,0,area,0,e,10,0.30110928,0.5397782,0.2756083,0.45678994,-0.2,0,0,0.48,0.48,54
0.05,-1,line,0.8,data/Exp4/line/area/S0.05m-0.8oe5.png,,0,area,0,e,5,0.31847557,0.6452193,-0.4681669,0.79431903,-0.87,0.07,0.07,0.4,0.4,56
0.1,1,line,0.4,data/Exp4/line/line/S0.1m0.4ob10.png,,0,line,0,b,10,0.69099826,0.57639945,-0.15993786,0.6869162,0.39,0.01,0.01,-0.55,0.55,58
0.15,1,line,0.8,data/Exp4/line/line/S0.15m0.8oe5.png,,0,line,0,e,5,0.33427796,0.36742243,0.47604695,0.20829043,0.9,-0.1,0.1,-0.42,0.42,57
0.05,-1,line,0.2,data/Exp4/line/line/S0.05m-0.2ob0.png,,0,line,0,b,0,0,0,-0.2,0.4,-0.24,0.04,0.04,0.04,0.04,59
0.05,-1,line,0.8,data/Exp4/line/scatter/S0.05m-0.8oe5.png,,0,scatter,0,e,5,0.31847557,0.6452193,-0.4681669,0.79431903,-0.84,0.04,0.04,0.37,0.37,60
0.1,1,line,0.2,data/Exp4/line/scatter/S0.1m0.2ob0.png,,0,scatter,0,b,0,0,0,0.2,0.4,0.26,-0.06,0.06,-0.06,0.06,61
